,,국가기관,,,,지자체,,교육청,,
연도,총계,중앙부처,중앙소속,대통령 관련,군 기관,시‧도,시‧군‧구,시‧도 교육청,교육지원청,국‧공립대학
2021,629,51,129,3,30,17,221,17,119,42
2020,630,50,126,3,40,17,222,17,112,43
2019,644,48,131,3,54,17,222,17,110,42
2018,632,48,126,3,56,17,220,17,103,42
2017,616,48,125,3,43,17,221,17,110,42
2016,581,48,109,3,27,17,215,17,103,42
2015,539,48,88,3,25,17,213,17,86,42
2014,477,44,65,3,27,17,203,17,71,30
2013,425,47,30,3,19,17,208,17,66,18
2012,432,47,30,4,18,17,225,17,56,18
2011,376,45,0,4,6,17,224,15,57,8
2010,331,45,0,4,6,16,210,14,29,7
2009,277,43,0,4,5,16,186,13,10,0
2008,142,43,0,4,0,16,67,10,2,0
2007,63,42,0,4,0,10,3,4,0,0
